

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (OBJNUM,TYPE,XX1,YY1,XX2,YY2,SIZE,DIAG)
   378        3:D        3:D       1 (5,line,7,5,0,0,8.6,32.2)
   379        3:D        3:D       0.549 (3,line,19,19,17,10,9.22,42.49)
   380        3:D        3:D       0.724 (3,line,38,13,0,0,40.16,54.45)
   381        3:D        6:G   +   0.428 (3,line,26,19,26,10,9,38.21)
   382        3:D        3:D       0.99 (3,line,16,21,16,10,11,36.67)
   383        3:D        3:D       0.964 (2,line,10,16,10,8,8,26)
   384        3:D        3:D       0.971 (4,line,12,8,7,4,6.4,27.73)
   385        3:D        8:L   +   0.519 (0,line,0,0,2,22,22.09,24.6)
   386        3:D        8:L   +   0.329 (0,line,0,0,0,28,28,31.3)
   387        3:D        3:D       0.828 (2,line,14,26,26,21,13,41.23)
   388        3:D        8:L   +   0.592 (0,line,0,0,0,34,34,44.69)
   389        3:D        6:G   +   0.782 (4,line,13,8,6,4,8.06,27.29)
   390        3:D        3:D       0.532 (0,line,0,0,0,35,35,39.36)
   391        3:D        3:D       0.675 (1,line,1,27,12,18,14.21,29.55)
   392        3:D        8:L   +   0.586 (0,line,0,0,1,20,20.02,21.93)
   393        3:D        3:D       0.778 (4,line,13,8,6,4,8.06,29.07)
   394        3:D        9:P   +   0.613 (2,line,17,30,37,19,22.83,53.04)
   395        3:D        3:D       0.561 (2,line,16,27,28,18,15,45.61)
   396        3:D        5:F   +   0.366 (0,line,0,0,0,32,32,38.28)
   397        3:D        4:E   +   0.42 (0,line,0,0,0,25,25,32.65)
   398        3:D        3:D       0.881 (3,line,19,12,10,6,10.82,30.61)
   399        3:D        3:D       1 (4,line,16,9,0,0,18.36,39.36)
   400        3:D        3:D       0.986 (2,line,10,18,12,12,6.32,25.94)
   401        3:D        3:D       0.668 (1,line,2,33,17,26,16.55,42.01)
   402        3:D        8:L   +   0.383 (0,line,0,0,1,24,24.02,31.89)
   403        3:D        7:H   +   0.393 (2,line,27,18,27,9,9,38.9)
   404        3:D        3:D       0.993 (5,line,10,7,0,0,12.21,43.83)
   405        3:D        3:D       0.708 (3,line,14,14,12,7,7.28,32.2)
   406        3:D        9:P   +   0.591 (2,line,21,30,23,20,10.2,45.28)
   407        3:D        3:D       0.812 (2,line,13,25,15,20,5.39,33.54)
   408        3:D        8:L   +   0.568 (0,line,0,0,2,25,25.08,26.93)
   409        3:D        3:D       0.975 (3,line,12,16,12,8,8,27.73)
   410        3:D        8:L   +   0.519 (0,line,0,0,2,22,22.09,24.6)
   411        3:D        3:D       0.633 (2,line,12,14,12,7,7,23.32)
   412        3:D        7:H   +   0.673 (3,line,18,12,10,6,10,30.81)
   413        3:D        3:D       0.981 (5,line,8,3,0,0,8.54,24.19)
   414        3:D        3:D       0.983 (5,line,6,4,0,0,7.21,33.42)
   415        3:D        7:H   +   0.668 (3,line,13,17,13,8,9,29.07)
   416        3:D        3:D       0.966 (3,line,20,20,17,10,10.44,43.83)
   417        3:D        3:D       0.507 (1,line,2,32,14,24,14.42,38.28)
   418        3:D        3:D       0.966 (3,line,20,20,17,10,10.44,43.83)
   419        3:D        3:D       0.678 (4,line,13,8,8,4,6.4,28.18)
   420        3:D        5:F   +   0.391 (0,line,0,0,2,25,25.08,27.73)
   421        3:D        3:D       0.999 (4,line,14,8,0,0,16.12,38.01)
   422        3:D        9:P   +   0.385 (2,line,14,31,24,25,11.66,44.94)
   423        3:D        9:P   +   0.571 (0,line,0,0,0,36,36,39.4)
   424        3:D        8:L   +   0.624 (0,line,0,0,2,23,23.09,26.93)
   425        3:D        3:D       0.994 (2,line,9,15,10,10,5.1,23.26)
   426        3:D        3:D       0.987 (2,line,10,16,10,8,8,26.93)
   427        3:D        3:D       0.956 (1,line,0,30,14,24,15.23,33.54)
   428        3:D        3:D       0.999 (5,line,7,4,0,0,8.06,26.93)
   429        3:D        5:F   +   0.281 (0,line,0,0,0,36,36,50.21)
   430        3:D        3:D       0.999 (5,line,6,4,0,0,7.21,32.65)
   431        3:D        3:D       0.996 (4,line,10,6,0,0,11.66,24.6)
   432        3:D        8:L   +   0.681 (0,line,0,0,1,22,22.02,24.17)
   433        3:D        3:D       0.876 (5,line,9,6,0,0,10.82,40.25)
   434        3:D        3:D       0.95 (3,line,14,19,14,10,9,32.2)
   435        3:D        3:D       0.983 (2,line,10,18,14,12,7.21,28.65)
   436        3:D        3:D       0.995 (4,line,17,10,0,0,19.72,42.49)
   437        3:D        3:D       0.994 (4,line,10,6,0,0,11.66,25.94)
   438        3:D        8:L   +   0.641 (0,line,0,0,2,22,22.09,24.17)
   439        3:D        3:D       0.993 (2,line,7,24,14,19,8.6,32.2)
   440        3:D        3:D       0.881 (3,line,12,16,12,8,8,26.83)
   441        3:D        3:D       0.618 (1,line,1,35,16,27,17,39.36)
   442        3:D        3:D       0.996 (5,line,21,5,0,0,21.59,36.88)
   443        3:D        4:E   +   0.573 (1,line,2,21,13,14,13.04,24.7)
   444        3:D        3:D       0.979 (2,line,16,27,32,18,18.36,48.17)
   445        3:D        3:D       0.997 (4,line,16,9,0,0,18.36,41.15)
   446        3:D        3:D       0.698 (2,line,34,24,34,12,12,50.25)
   447        3:D        3:D       0.986 (2,line,10,18,12,12,6.32,25.94)
   448        3:D        7:H   +   0.668 (3,line,13,17,13,8,9,29.07)
   449        3:D        3:D       0.848 (4,line,21,14,14,7,9.9,44.29)
   450        3:D        3:D       1 (4,line,9,5,0,0,10.3,25.61)
   451        3:D        3:D       0.417 (0,line,0,0,1,39,39.01,46.32)
   452        3:D        8:L   +   0.623 (0,line,0,0,2,38,38.05,44.94)
   453        3:D        3:D       0.816 (1,line,2,39,17,30,17.49,43.83)
   454        3:D        3:D       0.487 (0,line,0,0,2,36,36.06,41.68)
   455        3:D       10:R   +   0.447 (2,line,23,27,30,18,11.4,46.1)
   456        3:D        3:D       0.994 (2,line,9,15,10,10,5.1,23.26)
   457        3:D        3:D       0.75 (4,line,23,8,0,0,24.35,43.42)
   458        3:D        3:D       0.958 (4,line,26,10,14,5,13,41.23)
   459        3:D        7:H   +   0.603 (3,line,18,17,18,8,9,31.62)
   460        3:D        3:D       0.957 (2,line,14,24,24,16,12.81,39.2)
   461        3:D        3:D       0.975 (4,line,10,6,0,0,11.66,30.53)
   462        3:D        3:D       0.977 (4,line,20,14,10,7,12.21,43.83)
   463        3:D        3:D       0.882 (4,line,25,10,9,5,16.76,38.29)
   464        3:D        5:F   +   0.322 (1,line,0,32,19,26,19.92,44.55)
   465        3:D        3:D       0.99 (2,line,7,20,12,16,6.4,27.73)
   466        3:D        3:D       0.637 (1,line,0,39,10,34,11.18,43.83)
   467        3:D        3:D       0.976 (3,line,12,9,0,0,15,30.46)
   468        3:D        3:D       0.887 (3,line,25,18,16,9,12.73,43.83)
   469        3:D        7:H   +   0.563 (2,line,20,14,20,7,7,29.73)
   470        3:D        8:L   +   0.576 (0,line,0,0,2,38,38.05,42.49)
   471        3:D        3:D       0.479 (2,line,17,24,23,16,10,40.22)
   472        3:D        3:D       0.984 (1,line,1,30,14,24,14.32,33.54)
   473        3:D        8:L   +   0.559 (0,line,0,0,1,38,38.01,42.94)
   474        3:D        3:D       0.877 (2,line,14,24,31,16,18.79,45.28)
   475        3:D        3:D       0.936 (1,line,2,21,5,16,5.83,27.02)
   476        3:D        3:D       0.923 (2,line,8,21,13,17,6.4,29.07)
   477        3:D        3:D       0.967 (3,line,12,16,12,8,8,25.94)
   478        3:D        3:D       0.42 (1,line,1,28,17,21,17.46,33.84)
   479        3:D        3:D       0.991 (3,line,18,11,0,0,21.1,36.72)
   480        3:D        3:D       0.766 (1,line,2,35,18,27,17.89,44.2)
   481        3:D        3:D       0.988 (3,line,17,11,0,0,20.25,38.01)
   482        3:D        3:D       0.738 (1,line,2,24,6,20,5.66,27.29)
   483        3:D        3:D       0.957 (2,line,17,30,29,20,15.62,48.6)
   484        3:D        3:D       0.996 (5,line,6,4,0,0,7.21,30.23)
   485        3:D        7:H   +   0.453 (2,line,9,15,15,10,7.81,25.81)
   486        3:D        3:D       0.774 (4,line,31,10,19,5,13,44.55)
   487        3:D        7:H   +   0.833 (2,line,24,20,24,10,10,38.42)
   488        3:D        3:D       0.846 (1,line,0,35,17,30,17.72,39.36)
   489        3:D        8:L   +   0.345 (0,line,0,0,1,21,21.02,25.24)
   490        3:D        3:D       0.511 (2,line,11,21,13,17,4.47,29.07)
   491        3:D        3:D       0.993 (4,line,14,10,7,5,8.6,32.2)
   492        3:D        3:D       0.953 (4,line,10,6,0,0,11.66,30.81)
   493        3:D        3:D       0.882 (2,line,14,24,17,17,7.62,38.01)
   494        3:D        3:D       0.549 (3,line,19,19,17,10,9.22,42.49)
   495        3:D        3:D       0.963 (2,line,7,24,14,19,8.6,31.3)
   496        3:D        3:D       0.671 (2,line,9,15,12,10,5.83,23.32)
   497        3:D        8:L   +   0.381 (0,line,0,0,2,34,34.06,38.01)
   498        3:D        6:G   +   0.779 (4,line,25,8,12,4,13.6,36.07)
   499        3:D        4:E   +   0.377 (0,line,0,0,1,26,26.02,30.53)
   500        3:D        3:D       0.964 (2,line,14,24,16,16,8.25,34.89)
   501        3:D        3:D       0.694 (1,line,0,23,7,20,7.62,26.93)
   502        3:D        9:P   +   0.792 (2,line,21,29,28,23,9.22,44.05)
   503        3:D        3:D       0.907 (2,line,16,24,16,12,12,39.4)
   504        3:D        3:D       0.976 (4,line,15,10,7,5,9.43,32.65)
   505        3:D       10:R   +   0.534 (1,line,0,37,16,27,18.87,45.22)
   506        3:D        3:D       0.708 (3,line,14,14,12,7,7.28,32.2)
   507        3:D        7:H   +   0.551 (2,line,11,18,22,12,12.53,32.56)
   508        3:D       10:R   +   0.622 (1,line,0,37,16,24,20.62,40.31)
   509        3:D        3:D       0.978 (3,line,12,12,10,6,6.32,25.94)
   510        3:D        3:D       0.908 (3,line,21,12,0,0,24.19,41.68)
   511        3:D        9:P   +   0.582 (1,line,2,38,17,30,17,42.49)
   512        3:D        4:E   +   0.493 (0,line,0,0,1,35,35.01,38.48)
   513        3:D        3:D       0.426 (1,line,0,20,9,15,10.3,25)
   514        3:D        3:D       0.921 (1,line,0,24,6,20,7.21,26.83)
   515        3:D        3:D       0.859 (2,line,23,27,29,18,10.82,46.23)
   516        3:D        3:D       0.99 (3,line,16,21,16,10,11,36.67)
   517        3:D        3:D       0.944 (2,line,14,24,28,16,16.12,43.28)
   518        3:D       10:R   +   0.532 (1,line,0,39,17,30,19.24,43.83)
   519        3:D        3:D       0.989 (2,line,10,18,12,12,6.32,27.73)
   520        3:D        5:F   +   0.3 (1,line,0,32,8,26,10,35.78)
   521        3:D        6:G   +   0.535 (4,line,21,8,8,4,13.6,31.14)
   522        3:D        3:D       0.987 (1,line,2,22,10,18,8.94,24.6)
   523        3:D        3:D       0.964 (3,line,16,21,16,10,11,34.89)
   524        3:D        9:P   +   0.691 (0,line,0,0,0,37,37,47.01)
   525        3:D        3:D       0.512 (1,line,2,35,14,30,13,41.34)
   526        3:D        3:D       0.93 (2,line,6,20,12,16,7.21,26.83)
   527        3:D        4:E   +   0.367 (0,line,0,0,0,25,25,33.97)
   528        3:D        5:F   +   0.418 (1,line,2,33,27,24,26.57,43.28)
   529        3:D        3:D       0.929 (1,line,1,20,12,14,12.53,23.32)
   530        3:D        3:D       0.725 (2,line,14,31,19,25,7.81,42.49)
   531        3:D        3:D       0.972 (5,line,8,6,0,0,10,38.01)
   532        3:D        3:D       0.469 (1,line,2,36,9,30,9.22,40.25)
   533        3:D        3:D       0.984 (4,line,14,8,0,0,16.12,36.62)
   534        3:D        3:D       0.986 (2,line,10,18,12,12,6.32,25.94)
   535        3:D        3:D       0.956 (2,line,9,15,16,10,8.6,26.4)
   536        3:D        4:E   +   0.619 (0,line,0,0,1,24,24.02,31.24)
   537        3:D        3:D       0.836 (2,line,10,18,11,11,7.07,24.6)
   538        3:D        3:D       0.657 (5,line,27,6,0,0,27.66,47.51)
   539        3:D        3:D       0.996 (4,line,10,6,0,0,11.66,24.6)
   540        3:D        3:D       0.956 (1,line,0,30,14,24,15.23,33.54)
   541        3:D        3:D       0.994 (4,line,12,7,0,0,13.89,34.67)
   542        3:D        3:D       0.978 (2,line,9,30,18,24,10.82,41.15)
   543        3:D        7:H   +   0.783 (2,line,25,22,25,11,11,42.2)
   544        3:D        3:D       0.652 (2,line,16,16,16,8,8,29.68)
   545        3:D        3:D       0.356 (0,line,0,0,2,20,20.1,22.36)
   546        9:P       10:R   +   0.614 (1,line,0,28,2,48,20.1,56.08)
   547        9:P       10:R   +   0.388 (1,line,0,24,1,48,24.02,52.8)
   548        9:P        9:P       0.382 (0,line,0,0,0,28,28,35.74)
   549        9:P        8:L   +   0.622 (0,line,0,0,0,25,25,42.15)
   550        9:P        9:P       0.689 (6,line,10,26,0,21,11.18,53.71)
   551        9:P       10:R   +   0.624 (2,line,2,49,8,48,6.08,50.22)
   552        9:P        9:P       0.54 (2,line,1,50,8,47,7.62,52.2)
   553        9:P       10:R   +   0.544 (5,line,21,20,10,13,13.04,51.48)
   554        9:P       10:R   +   0.624 (6,line,10,12,0,6,11.66,47.01)
   555        9:P        9:P       0.992 (3,line,26,50,28,45,5.39,59.94)
   556        9:P        9:P       0.607 (3,line,10,55,14,48,8.06,57.72)
   557        9:P        9:P       0.464 (1,line,0,34,1,45,11.05,46.84)
   558        9:P        8:L   +   0.444 (0,line,0,0,0,20,20,39.56)
   559        9:P        9:P       0.43 (5,line,20,17,0,6,22.83,59.41)
   560        9:P        9:P       0.505 (3,line,10,31,11,24,7.07,35.74)
   561        9:P        9:P       0.597 (1,line,0,35,0,56,21,65)
   562        9:P        9:P       0.835 (2,line,2,45,15,45,13,48.85)
   563        9:P       10:R   +   0.847 (5,line,17,37,14,31,6.71,59.48)
   564        9:P        9:P       0.81 (2,line,1,59,25,51,25.3,64.08)
   565        9:P        9:P       0.51 (4,line,19,25,0,10,24.21,55.36)
   566        9:P        9:P       0.812 (3,line,13,39,22,34,10.3,50.99)
   567        9:P        9:P       0.664 (2,line,0,40,8,38,8.25,43.46)
   568        9:P        9:P       0.903 (4,line,11,37,11,32,5,41.48)
   569        9:P       10:R   +   0.713 (3,line,10,36,15,30,7.81,42.72)
   570        9:P       10:R   +   0.445 (5,line,25,16,0,6,26.93,50.8)
   571        9:P        9:P       0.528 (4,line,21,23,0,6,27.02,57.94)
   572        9:P        9:P       0.501 (4,line,13,20,10,13,7.62,32.7)
   573        9:P       10:R   +   0.428 (4,line,11,31,11,24,7,37.64)
   574        9:P       10:R   +   0.562 (3,line,17,36,20,26,10.44,48.33)
   575        9:P        4:E   +   0.724 (0,line,0,0,0,20,20,34.99)
   576        9:P        9:P       0.767 (5,line,24,20,0,6,27.78,64.88)
   577        9:P       10:R   +   0.732 (5,line,23,22,12,14,13.6,55.04)
   578        9:P        8:L   +   0.444 (0,line,0,0,0,28,28,44.64)
   579        9:P        5:F   +   0.448 (1,line,0,27,2,48,21.1,51.62)
   580        9:P        6:G   +   0.969 (6,line,6,13,0,9,7.21,34.99)
   581        9:P        9:P       0.639 (6,line,3,35,0,33,3.61,43.93)
   582        9:P        9:P       0.707 (1,line,0,35,1,59,24.02,64.88)
   583        9:P        9:P       0.855 (4,line,25,31,21,18,13.6,59.51)
   584        9:P        9:P       0.868 (2,line,1,60,14,52,15.26,66.21)
   585        9:P       10:R   +   0.621 (4,line,17,23,14,14,9.49,40.72)
   586        9:P       10:R   +   0.733 (2,line,0,51,17,39,20.81,53.76)
   587        9:P        9:P       0.399 (4,line,13,19,10,12,7.62,33.62)
   588        9:P        7:H   +   0.817 (3,line,23,24,23,15,9,39.41)
   589        9:P        9:P       0.444 (4,line,10,25,0,18,12.21,39.29)
   590        9:P        9:P       0.521 (2,line,0,36,6,34,6.32,36.67)
   591        9:P        5:F   +   0.478 (0,line,0,0,0,21,21,34.21)
   592        9:P        9:P       0.771 (0,line,0,0,0,31,31,57.57)
   593        9:P        9:P       0.575 (0,line,0,0,0,28,28,52.2)
   594        9:P        6:G   +   0.625 (6,line,7,15,0,11,8.06,36.25)
   595        9:P        7:H   +   0.373 (1,line,0,20,1,30,10.05,31.32)
   596        9:P       10:R   +   0.509 (6,line,19,20,0,13,20.25,59.24)
   597        9:P        3:D   +   0.576 (5,line,17,18,8,12,10.82,42.54)
   598        9:P        9:P       0.635 (0,line,0,0,0,35,35,65)
   599        9:P       10:R   +   0.662 (2,line,0,50,12,45,13,55.04)
   600        9:P        7:H   +   0.416 (4,line,18,24,16,15,9.22,43.86)
   601        9:P        9:P       0.774 (4,line,33,34,29,23,11.7,65)
   602        9:P        9:P       0.808 (5,line,16,31,0,22,18.36,61.74)
   603        9:P        9:P       0.935 (3,line,14,46,17,39,7.62,57.57)
   604        9:P        9:P       0.779 (0,line,0,0,0,37,37,63.6)
   605        9:P        3:D   +   0.667 (5,line,20,16,6,12,14.56,33.6)
   606        9:P        9:P       0.851 (1,line,0,38,1,53,15.03,62.97)
   607        9:P        9:P       0.871 (5,line,25,23,14,16,13.04,55.01)
   608        9:P        9:P       0.614 (3,line,17,36,21,27,9.85,51.48)
   609        9:P        9:P       0.947 (3,line,37,34,37,21,13,59.03)
   610        9:P        9:P       0.917 (4,line,29,46,29,27,19,70.26)
   611        9:P        5:F   +   0.363 (1,line,0,23,1,42,19.03,45.31)
   612        9:P        9:P       0.698 (3,line,8,36,14,33,6.71,38.63)
   613        9:P       10:R   +   0.786 (4,line,17,29,17,18,11,42.54)
   614        9:P       10:R   +   0.643 (2,line,0,45,17,36,19.24,49.66)
   615        9:P        9:P       0.563 (3,line,6,28,18,24,12.65,34.99)
   616        9:P        9:P       0.775 (3,line,30,55,30,44,11,70.68)
   617        9:P        5:F   +   0.395 (1,line,0,28,2,34,6.32,35.74)
   618        9:P        6:G   +   0.995 (6,line,7,10,0,6,8.06,28.23)
   619        9:P        4:E   +   0.435 (1,line,0,33,1,40,7.07,47.71)
   620        9:P        9:P       0.731 (0,line,0,0,0,38,38,56.36)
   621        9:P        9:P       0.87 (3,line,10,37,11,30,7.07,41.48)
   622        9:P       10:R   +   0.673 (2,line,0,44,16,34,18.87,46.82)
   623        9:P        6:G   +   0.852 (6,line,32,14,0,6,32.98,63.41)
   624        9:P        9:P       0.658 (3,line,8,42,13,38,6.4,45.88)
   625        9:P        9:P       0.743 (1,line,0,33,2,54,21.1,59.51)
   626        9:P        9:P       0.616 (6,line,6,19,0,16,6.71,34.01)
   627        9:P        9:P       0.878 (0,line,0,0,0,35,35,45.35)
   628        9:P        9:P       0.766 (3,line,8,43,15,38,8.6,48.38)
   629        9:P        9:P       0.746 (4,line,19,33,18,25,8.06,50.7)
   630        9:P        9:P       0.865 (2,line,2,50,27,46,25.32,57.8)
   631        9:P       10:R   +   0.62 (4,line,17,20,0,6,22.02,49.04)
   632        9:P        9:P       0.843 (4,line,23,40,22,29,11.05,66.13)
   633        9:P        8:L   +   0.413 (0,line,0,0,0,20,20,33.11)
   634        9:P        9:P       0.632 (0,line,0,0,0,34,34,55.15)
   635        9:P        9:P       0.452 (5,line,14,22,0,14,16.12,50.61)
   636        9:P       10:R   +   0.666 (5,line,31,18,10,12,21.84,52.2)
   637        9:P       10:R   +   0.452 (5,line,9,29,0,24,10.3,43.17)
   638        9:P        9:P       0.804 (0,line,0,0,0,38,38,55.04)
   639        9:P        9:P       0.445 (4,line,13,23,13,14,9,31.78)
